Capture_Ch2_28072015_111800 Compressing video. Total time = 0:11:00, fps = 12.1; Frame 8000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:11:05, fps = 12.3; Frame 8000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:11:07, fps = 12.0; Frame 8000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:11:09, fps = 11.9; Frame 8000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:11:14, fps = 11.8; Frame 8000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:11:37, fps = 12.4; Frame 8500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:11:41, fps = 12.2; Frame 8500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:11:47, fps = 11.9; Frame 8500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:11:49, fps = 11.9; Frame 8500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:11:50, fps = 12.1; Frame 8500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:11:56, fps = 11.9; Frame 8500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:12:18, fps = 12.2; Frame 9000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:12:22, fps = 12.2; Frame 9000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:12:29, fps = 12.1; Frame 9000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:12:31, fps = 12.1; Frame 9000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:12:31, fps = 12.2; Frame 9000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:12:37, fps = 12.0; Frame 9000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:12:59, fps = 12.2; Frame 9500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:13:03, fps = 12.1; Frame 9500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:13:10, fps = 12.0; Frame 9500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:13:12, fps = 12.0; Frame 9500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:13:13, fps = 11.9; Frame 9500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:13:20, fps = 11.7; Frame 9500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:13:40, fps = 12.2; Frame 10000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:13:43, fps = 12.4; Frame 10000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:13:52, fps = 12.1; Frame 10000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:13:54, fps = 12.1; Frame 10000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:13:54, fps = 12.1; Frame 10000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:14:02, fps = 12.1; Frame 10000 
